City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
445,Poum,NC,-20.2333,164.0167,73.08,67,72,6.69,broken clouds
446,Oskemen,KZ,49.9565,82.6119,57.16,67,64,8.46,broken clouds
447,Nouadhibou,MR,20.931,-17.0347,64.58,85,20,20.65,few clouds
448,Chake Chake,TZ,-5.2459,39.7666,74.93,81,53,9.51,broken clouds
449,Katsuura,JP,35.1333,140.3,73.24,77,100,4.52,overcast clouds
450,Shimoda,JP,34.6667,138.95,69.87,70,100,13.87,overcast clouds
451,Khowst,AF,33.3833,69.8833,75.31,32,31,5.1,scattered clouds
452,Lucea,JM,18.451,-78.1736,81.86,81,15,10.04,few clouds
453,Bayan,CN,46.0833,127.4,60.17,63,100,6.04,overcast clouds
454,Morondava,MG,-20.2833,44.2833,67.5,86,0,6.64,clear sky
455,Terney,RU,45.0503,136.6092,46.09,96,100,4.79,overcast clouds
456,Grand Gaube,MU,-20.0064,57.6608,74.37,76,7,3.0,clear sky
457,Axim,GH,4.8699,-2.2405,80.08,84,83,6.42,light rain
458,Sarakhs,IR,36.5449,61.1577,75.34,57,38,6.91,scattered clouds
459,Ambon,ID,-3.6954,128.1814,80.74,83,40,10.69,scattered clouds
460,Taoudenni,ML,22.6783,-3.9836,98.91,14,41,10.38,scattered clouds
461,Port Blair,IN,11.6667,92.75,82.11,80,100,7.16,overcast clouds
462,Klaksvik,FO,62.2266,-6.589,45.52,88,82,14.41,broken clouds
463,Langsa,ID,4.4683,97.9683,75.22,94,100,1.63,overcast clouds
464,Hohhot,CN,40.8106,111.6522,55.69,38,0,5.93,clear sky
465,San Pedro,PH,14.35,121.0167,90.63,65,40,8.43,scattered clouds
466,Atasu,KZ,48.6814,71.6433,55.92,53,65,13.49,broken clouds
467,Wuda,CN,39.4994,106.7117,63.72,20,0,10.78,clear sky
468,Kodinsk,RU,58.6881,99.1844,45.99,59,60,11.16,broken clouds
469,Elban,RU,50.1018,136.5094,57.45,54,8,6.58,clear sky
470,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,58,75,14.97,light rain
471,Dalaba,GN,10.7,-12.25,66.43,90,99,3.71,light rain
472,Epinal,FR,48.1833,6.45,49.82,96,5,2.57,clear sky
473,Tala,EG,30.6803,30.9429,67.01,75,0,5.82,clear sky
474,Saldanha,ZA,-33.0117,17.9442,58.71,88,76,12.37,broken clouds
475,Cache Creek,CA,50.8101,-121.3246,62.91,29,16,9.62,few clouds
476,Joshimath,IN,30.5667,79.5667,58.98,42,3,8.84,clear sky
477,High Level,CA,58.5169,-117.136,62.46,34,100,4.03,overcast clouds
478,Novoasbest,RU,57.7422,60.2877,41.97,78,25,3.31,scattered clouds
479,Caravelas,BR,-17.7125,-39.2481,74.12,83,38,6.71,scattered clouds
480,Bykov,RU,47.3167,142.55,50.79,64,100,4.92,moderate rain
481,Bundaberg,AU,-24.85,152.35,66.49,34,0,10.36,clear sky
482,Nyurba,RU,63.2842,118.3319,58.73,59,90,5.93,overcast clouds
483,Susanino,RU,58.1461,41.5872,51.04,98,54,3.96,broken clouds
484,Fortuna,US,40.5982,-124.1573,61.66,66,90,1.99,overcast clouds
485,Satu Mare,RO,47.8,22.8833,57.87,88,20,2.98,few clouds
486,Olbia,IT,40.9214,9.4856,55.45,82,0,4.61,clear sky
487,Olafsvik,IS,64.8945,-23.7142,45.99,80,6,5.32,clear sky
488,Mahanje,TZ,-9.9333,35.3333,54.72,90,25,2.48,scattered clouds
489,Dali,CN,25.7,100.1833,64.74,88,93,4.16,overcast clouds
490,Molchanovo,RU,57.5817,83.7692,37.98,77,100,15.73,overcast clouds
491,Aklavik,CA,68.2191,-135.0107,35.8,65,100,13.71,overcast clouds
492,Komsomolskiy,UZ,40.4272,71.7189,69.22,42,8,0.96,clear sky
493,Kuytun,RU,54.3419,101.5036,45.19,55,100,5.75,overcast clouds
494,Teahupoo,PF,-17.8333,-149.2667,80.56,66,32,10.71,scattered clouds
495,Iskateley,RU,67.6803,53.1512,38.7,52,100,15.82,overcast clouds
496,Solnechnyy,RU,50.7214,136.6319,54.86,58,67,4.5,broken clouds
497,Ocos,GT,14.5094,-92.1933,85.32,73,92,3.71,overcast clouds
498,Manzhouli,CN,49.6,117.4333,55.06,51,67,9.33,broken clouds
499,Inhambane,MZ,-23.865,35.3833,65.75,78,0,6.76,clear sky
500,Kerema,PG,-7.9631,145.7785,80.13,75,99,2.93,overcast clouds
501,Arlit,NE,18.7369,7.3853,86.79,8,54,3.71,broken clouds
502,Turbat,PK,26.0023,63.044,88.84,16,2,1.14,clear sky
503,Hanmer Springs,NZ,-42.5167,172.8167,54.34,61,89,2.8,light rain
504,Waipawa,NZ,-41.4122,175.5153,54.1,57,94,5.77,overcast clouds
505,Baculin,PH,7.4525,126.5842,83.62,76,10,1.25,clear sky
506,Redmond,US,47.674,-122.1215,60.04,76,83,10.0,broken clouds
507,Lebanon,US,36.2081,-86.2911,83.16,64,75,8.05,broken clouds
508,San Felipe,VE,10.3399,-68.7425,73.69,98,81,3.69,broken clouds
509,Te Anau,NZ,-45.4167,167.7167,42.28,92,100,2.24,light rain
510,Nalut,LY,30.3333,10.85,84.0,17,55,15.68,broken clouds
511,Muros,ES,42.7762,-9.0603,61.3,66,87,4.76,overcast clouds
512,Port Hedland,AU,-20.3167,118.5667,78.85,36,90,12.66,overcast clouds
513,Amapa,BR,1.0,-52.0,71.85,99,100,2.73,overcast clouds
514,Liverpool,GB,53.4106,-2.9779,55.35,75,100,3.27,overcast clouds
515,Sulangan,PH,11.1373,123.7228,83.64,76,96,5.06,overcast clouds
516,Dunedin,NZ,-45.8742,170.5036,47.8,87,100,8.01,overcast clouds
517,Ucluelet,CA,48.9329,-125.5528,57.09,80,96,1.01,overcast clouds
518,Kutum,SD,14.2,24.6667,81.61,19,87,2.35,overcast clouds
519,Novopavlovka,RU,51.2172,109.2091,51.33,60,89,4.63,overcast clouds
520,Sri Aman,MY,1.2376,111.4621,76.41,98,84,0.65,broken clouds
521,Pochutla,MX,15.7432,-96.4661,87.82,57,97,6.17,overcast clouds
522,Kargasok,RU,59.0556,80.8572,36.61,71,95,18.86,overcast clouds
523,Oga,IT,46.4631,10.347,38.25,93,25,4.47,scattered clouds
524,Chicama,PE,-7.8447,-79.1469,64.94,85,50,6.38,scattered clouds
525,Korsor,DK,55.3299,11.1386,51.98,70,15,12.17,few clouds
