City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Xam Nua,LA,68.11,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
162,Akcakoca,TR,58.1,broken clouds,41.0866,31.1162,Turkuaz Beach Otel
164,Mosquera,CO,62.69,broken clouds,4.7059,-74.2302,Hotel SJ
165,Bismarck,US,50.81,overcast clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
168,Cairns,AU,71.94,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
170,Carnarvon,AU,55.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
175,Zonguldak,TR,53.17,scattered clouds,41.25,31.8333,Süleyman Tez Ev
177,Batagay,RU,56.64,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
178,Lebu,CL,57.45,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
180,Komsomolskiy,UZ,69.22,overcast clouds,40.4272,71.7189,Ikathouse
181,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Sao Sebastiao,BR,65.26,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
185,Hasaki,JP,64.8,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
188,Petawawa,CA,72.99,scattered clouds,45.9001,-77.3328,Petawawa River Inn & Suites
190,Los Llanos De Aridane,ES,64.15,overcast clouds,28.6585,-17.9182,Valle Aridane
193,Mackay,AU,70.05,clear sky,-21.15,149.2,International Lodge Motel
194,Mabamba,TZ,63.73,overcast clouds,-3.5983,30.5019,
196,Arraial Do Cabo,BR,72.37,clear sky,-22.9661,-42.0278,Pousada Porto Praia
200,Riviere-Au-Renard,CA,59.29,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
203,Akureyri,IS,53.53,clear sky,65.6835,-18.0878,Icelandair Hotel Akureyri
206,Margate,GB,53.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
210,Codrington,AU,54.54,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
213,Kamakura,JP,68.2,light rain,35.3089,139.5503,Kamakura Park Hotel
216,Katsuura,JP,67.1,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
218,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
221,Yatou,CN,61.68,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
222,Patea,NZ,53.67,clear sky,-39.7583,174.4833,Patea Rest N Fresh
224,Eureka,US,63.19,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
225,Flinders,AU,54.37,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
229,Golyshmanovo,RU,50.34,clear sky,56.3979,68.3728,Mini gostinitsa Paradiz
236,College,US,65.86,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
238,Corner Brook,CA,57.36,overcast clouds,48.9667,-57.9484,Glynmill Inn
239,Mizdah,LY,70.27,scattered clouds,31.4451,12.9801,محمدالمبروك الاريقط
240,Sao Joao Da Barra,BR,72.16,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
242,Malanje,AO,58.64,clear sky,-9.5402,16.340999999999998,Malanje Hotel
245,Vredendal,ZA,61.05,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
250,Necochea,AR,57.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
251,Beauceville,CA,69.46,broken clouds,46.2179,-70.7787,Motel Royal
255,Lagoa,PT,59.23,scattered clouds,39.05,-27.9833,Casa Das Faias
